capacity_slack,elapsed_sec,final_gap_to_instance_best,final_objective,grid_capacity_slack,grid_mode,grid_tw_tightness,instance_tag,iters_to_target,k_vehicles,method,n_requests,outcome,reference_best,remove_count,seed,shots,target_eps,time_to_target_sec,tw_tightness
0.15,15.661739400000002,0.019360559136790495,335084.83478624286,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,regret_k,100,fixed_budget,328720.6197873671,2,10,16,,,0.15
0.15,16.0270498,0.03983525864570713,341815.29069877404,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,standard_alns,100,fixed_budget,328720.6197873671,2,10,16,,,0.15
0.15,36.95415399999999,0.09922502343521034,361337.9309894055,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,qaoa,100,fixed_budget,328720.6197873671,2,10,16,,,0.15
0.15,30.0118607,0.1599926571930292,381313.5052212874,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,efficient_su2,100,fixed_budget,328720.6197873671,2,10,16,,,0.15
0.15,23.055308999999994,0.0,328720.6197873671,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,hybrid_alns,100,fixed_budget,328720.6197873671,2,10,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,regret_k,100,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,standard_alns,100,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,qaoa,100,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,efficient_su2,100,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,90,10,hybrid_alns,100,time_to_target,,2,10,16,0.01,20.617634100000004,0.15
0.15,15.388461499999949,0.03245558198051911,304332.77038822474,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,regret_k,100,fixed_budget,294765.9693063358,2,20,16,,,0.15
0.15,16.507644700000014,0.019923846326471463,300638.8411810686,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,standard_alns,100,fixed_budget,294765.9693063358,2,20,16,,,0.15
0.15,30.573709699999995,0.07163607860446261,315881.84745348507,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,qaoa,100,fixed_budget,294765.9693063358,2,20,16,,,0.15
